"Name","Battery.EV..kWh.","Acceleration.sec.","TopSpeed.km.h.","Range.km.","Efficiency.Wh.km.","FastChargeSpeed.km.h.","Drive","NumberofSeats","PriceinGermany...","PriceinUK..."
"54","Nissan Ariya e-4ORCE 63kWh",63,5.9,200,325,194,440,"All Wheel Drive",5,50000,45000
"55","Mercedes EQA 350 4MATIC",66.5,6,160,350,190,420,"All Wheel Drive",5,56216,NA
"56","BMW iX xDrive40",71,6.1,200,350,203,470,"All Wheel Drive",5,77300,69905
"57","Hyundai IONIQ 5 Standard Range AWD",58,6.1,185,305,190,710,"All Wheel Drive",5,45700,NA
"58","Skoda Enyaq iV RS",77,6.2,180,395,195,480,"All Wheel Drive",5,50000,45000
"59","Mercedes EQS 450+",107.8,6.2,210,640,168,840,"Rear Wheel Drive",5,106374,95000
"60","Audi Q4 e-tron 50 quattro",76.6,6.2,180,385,199,470,"All Wheel Drive",5,53600,51370
"61","Audi Q4 Sportback e-tron 50 quattro",76.6,6.2,180,400,192,490,"All Wheel Drive",5,55600,52870
"62","Volkswagen ID.4 GTX",77,6.2,180,400,193,490,"All Wheel Drive",5,50415,55540
"63","Ford Mustang Mach-E SR AWD",68,6.3,180,330,206,360,"All Wheel Drive",5,54000,46650
"64","Mercedes EQB 350 4MATIC",66.5,6.5,160,340,196,400,"All Wheel Drive",7,60000,50000
"65","CUPRA Born 170 kW - 62 kWh",58,6.6,160,345,168,430,"Rear Wheel Drive",5,39000,31500
"66","BMW iX3",74,6.8,180,385,192,520,"Rear Wheel Drive",5,66300,58850
"67","Audi e-tron 50 quattro",64.7,6.8,190,280,231,470,"All Wheel Drive",5,69100,60600
"68","Audi e-tron Sportback 50 quattro",64.7,6.8,190,295,219,490,"All Wheel Drive",5,71350,69100
"69","Skoda Enyaq iV 80X",77,6.9,160,405,190,500,"All Wheel Drive",5,47000,42000
"70","BMW i3s 120 Ah",37.9,6.9,160,230,165,260,"Rear Wheel Drive",4,42600,32305
"71","Ford Mustang Mach-E SR RWD",68,6.9,180,345,197,380,"Rear Wheel Drive",5,46900,41330
"72","Audi Q4 e-tron 45 quattro",76.6,6.9,180,385,199,470,"All Wheel Drive",5,50900,NA
"73","Ford Mustang Mach-E ER RWD",88,7,180,440,200,430,"Rear Wheel Drive",5,54475,49980
"74","Tesla Cybertruck Single Motor",100,7,180,390,256,740,"Rear Wheel Drive",7,45000,39000
"75","CUPRA Born 170 kW - 82 kWh",77,7,160,450,171,550,"Rear Wheel Drive",5,43000,42000
"76","Volkswagen ID.3 Pro Performance",58,7.3,160,350,166,440,"Rear Wheel Drive",5,36495,29740
"77","Opel Ampera-e",58,7.3,150,335,173,210,"Front Wheel Drive",5,42990,NA
"78","Nissan Leaf e+",56,7.3,157,325,172,390,"Front Wheel Drive",5,38350,30445
"79","BMW i3 120 Ah",37.9,7.3,150,235,161,270,"Rear Wheel Drive",4,39000,31305
"80","Mini Cooper SE",28.9,7.3,150,185,156,260,"Front Wheel Drive",4,32500,26000
"81","CUPRA Born 150 kW - 62 kWh",58,7.3,160,350,166,440,"Rear Wheel Drive",5,36770,30500
"82","Hyundai IONIQ 5 Long Range 2WD",72.6,7.4,185,385,189,890,"Rear Wheel Drive",5,45100,41945
